"Horodateur","What is your profession?","Do you have a permanent position?","Where do you work most of the time?","Are you involved in the LMD-Climactions group?","Should the LMD define a carbon emission reduction strategy?","How should we stand regarding the national emission reduction objective for the 2030 horizon (-50% in 2030 compare to our 2019 carbon footprint)?","By which method? (multiple answer possible)","If the LMD sets itself some emission or carbon cost limits, should they be :","Do you have any remark on the ways to act for GHG emission reduction strategy?","In your opinion, which activities emit the most carbon?","In your opinion, should a potential reduction strategy apply on : [Missions (except field campaigns)?]","In your opinion, should a potential reduction strategy apply on : [Field campaigns ?]","In your opinion, should a potential reduction strategy apply on : [Calculation and numerical storage]","In your opinion, should a potential reduction strategy apply on : [Purchase]","In your opinion, should a potential reduction strategy apply on : [Building / heating / air conditioning]","In your opinion, should a potential reduction strategy apply on : [Commuting to and from work]","Would you be interested in a calculator that could allow you to estimate and follow your personal carbon footprint at work on a year basis, in these various emission categories ?","Do you think that the quality of your work could be as good as it is with a lower carbon footprint ? (Comment area below)","Do you have any comments on this specific point ? ","Do you have any general or specific comments/questions/suggestions about an emission reduction strategy at LMD ?"
"2021/03/25 5:45:50 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Ecole Polytechnique","No","Yes","More ambitious","Awareness / good practice / volunteering;By setting emission or carbon cost limits","collective (team, site or at laboratory scale)","","Missions (except field campaigns);Field campaigns;Calculation and numerical storage;Building / heating / air conditioning","Priority","Somewhat agree","Priority","Priority","Priority","Priority","Yes","Yes","Clear strategies are needed. Less travel could be achived by more online meetings and very targeted conference attendance. Building energy use and energy for computation should come from renewable energy. Obviously this is key for out work.",""
"2021/03/26 11:24:19 AM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","Yes","Ecole Polytechnique","No","Yes","Same objective","Awareness / good practice / volunteering;By setting emission or carbon cost limits","collective (team, site or at laboratory scale)","Carpooling for the members that live close to each other","Missions (except field campaigns);Building / heating / air conditioning;Commuting to and from work","Somewhat agree","No change","Somewhat agree","Somewhat agree","Priority","Priority","Yes","Yes","",""
"2021/03/26 3:08:10 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Sorbonne Université","No","Yes","Same objective","Awareness / good practice / volunteering","collective (team, site or at laboratory scale)","","Missions (except field campaigns);Building / heating / air conditioning;Commuting to and from work","Somewhat agree","Somewhat agree","No change","No change","Priority","Somewhat disagree","Yes","Yes","","Ultimately the choices and strategy for a given instance should be decided, within reason, by the faculty/admin member travelling. It is counter-productive to be over-constrained by top-down rules that sometimes conflict and result in unreasonable conditions."
"2021/03/29 2:39:58 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Ecole Normale Supérieure (ENS)","No","Yes","More ambitious","Awareness / good practice / volunteering;By setting emission or carbon cost limits","collective (team, site or at laboratory scale)","","Missions (except field campaigns);Calculation and numerical storage;Building / heating / air conditioning","No change","No change","Priority","Priority","Priority","Priority","Yes","Yes","",""
"2021/03/29 2:40:27 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Sorbonne Université","No","Yes","More ambitious","By setting emission or carbon cost limits","personal","","Missions (except field campaigns)","Priority","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Yes","Yes","",""
"2021/03/29 3:56:44 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","Yes","Sorbonne Université","No","Yes","More ambitious","Awareness / good practice / volunteering","collective (team, site or at laboratory scale)","","Missions (except field campaigns);Building / heating / air conditioning","No change","No change","No change","Somewhat agree","Somewhat agree","Somewhat agree","Yes","Yes","",""
"2021/03/29 3:57:28 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","Yes","Sorbonne Université","No","Yes","More ambitious","Awareness / good practice / volunteering","collective (team, site or at laboratory scale)","","Missions (except field campaigns);Building / heating / air conditioning","No change","No change","No change","Somewhat agree","Somewhat agree","Somewhat agree","Yes","Yes","",""
"2021/03/30 1:59:13 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Sorbonne Université","No","Yes","More ambitious","Awareness / good practice / volunteering;By setting emission or carbon cost limits","personal","","Missions (except field campaigns);Calculation and numerical storage;Building / heating / air conditioning","Priority","Somewhat disagree","Priority","Priority","Priority","Priority","Yes","Yes","",""
"2021/04/01 1:36:19 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Ecole Polytechnique","No","Yes","Same objective","Awareness / good practice / volunteering;By setting emission or carbon cost limits;by aiming to decrease emissions outside the lab's scope too","collective (team, site or at laboratory scale)","","Building / heating / air conditioning;Commuting to and from work","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Yes","Yes","My work in completely computational, with electricity costs that can be limited to renewable sources without any effects on work","I believe the people at LMD should focus the emission reduction strategy in places where a huge difference can be made with the same effort. In our lab, huge efforts must be made to obtain minor reductions. Whereas, if people from the lab carried this message to countries with large emissions (that are needless), we can achieve a much larger reduction, more quickly. For example, Lebanon has large emissions due to garbage burning by citizens, outside in the open. If a facility is established in each region to regulate this burning, we obtain an immense reduction immediately. It is good to note that such activities directly affect Europe, as carbon crosses the Mediterranean's atmosphere."
"2021/04/01 1:53:37 PM UTC+2","Research and teaching (including PhD student and postdoctoral researcher)","No","Ecole Normale Supérieure (ENS)","No","Yes","No quantified objectives","Awareness / good practice / volunteering","personal","","Calculation and numerical storage;Purchase","No change","No change","Somewhat agree","Priority","Priority","Somewhat agree","Yes","Yes","The current pandemic has shown us that many meetings (but not all) works through video. It has also shown us that working from home mostly works fine. To continue these practices although not in the same quantity as now but more than before should be one way to reduce carbon footprint without it affecting our work. ",""
